Germany,Hamburg,Universitätsbibliothek der TU Hamburg,https://github.com/tubhh
Germany,Hamburg/Kiel,ZBW - Leibniz Information Centre for Economics,https://github.com/zbw
Germany,Hannover,Technische Informationsbibliothek (TIB),https://github.com/TIBHannover
Germany,Hannover,Bibliothek der Hochschule Hannover,https://github.com/HsH-Bibliothek
Germany,Heidelberg,University Library Heidelberg,https://github.com/UB-Heidelberg
Germany,Heidelberg,Web Opac App - Bringing public libraries to mobile platforms,https://github.com/opacapp
Germany,Ilmenau,UB Ilmenau,https://github.com/ubilmenau
Germany,Konstanz,Bibliotheksservice-Zentrum Baden-Württemberg (BSZ),https://github.com/BSZBW
Germany,Köln,Deutsche Zentralbibliothek für Medizin (ZB MED),https://github.com/zbmed
Germany,Köln,Hochschulbibliothekszentrum des Landes Nordrhein-Westfalen (hbz Köln),https://github.com/hbz
Germany,Leipzig,Universitätsbibliothek Leipzig,https://github.com/ubleipzig
Germany,Leipzig,project finc (Cataloguing and Indexing software development at Leipzig University Library),https://github.com/finc
Germany,Lübeck,Zentrale Hochschulbibliothek Lübeck,https://github.com/ZentraleHochschulbibliothekHL
Germany,Mannheim,Universitätsbibliothek Mannheim,https://github.com/UB-Mannheim
Germany,München,Max Planck Digital Library - MPDL,https://github.com/MPDL
Germany,München,Universitätsbibliothek der LMU München,https://github.com/UB-LMU
Germany,München,Münchener DigitalisierungsZentrum (MDZ),https://github.com/dbmdz
Germany,Paderborn,Universitätsbibliothek Paderborn,https://github.com/ubpb
Germany,Rostock,Rostock University Library,https://github.com/ubrostock
Germany,Tübingen,Universitätsbibliothek Tübingen,https://github.com/ubtue
Germany,Weimar,Bibliothek der Hochschule für Musik FRANZ LISZT Weimar,https://github.com/HfMWeimar
Hongkong,Hongkong,The Chinese University of Hong Kong Library,https://github.com/cuhk-library-lits
Hongkong,Hongkong,Hong Kong Polytechnic University Library,https://github.com/PolyU-Library
Hungary,Kaposvar,University Library,https://github.com/KE-LIB
Hungary,Budapest,National Szechenyi Library,https://github.com/oszk
Iceland,Reykjavik,National and University Library of Iceland,https://github.com/Landsbokasafn
India,Kolkata,National Virtual Library of India,https://github.com/NVLI
India,Churu,Opjs Digital Library,https://github.com/opjsuniversitychuru
India,Pune,Portal software Application for National Virtual Library of India,https://github.com/C-DAC-NVLI
Israel,Jerusalem,National Library of Israel,https://github.com/NationalLibraryofIsrael
Italy,San Domenico di Fiesole,European University Institute Library,https://github.com/EUI-Library
Lithuania,Vilnius,Vilnius University Library,https://github.com/vulibrary
Luxembourg,Luxembourg,National Library of Luxembourg,https://github.com/natliblux
Netherlands,Amsterdam,University Library Vrije Universiteit Amsterdam,https://github.com/ubvu
